,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class,sales_channel,response
5770,arizona,3059.056323,bachelor,female,0,83,0.0,personal auto,197.498882,two-door car,agent,no
5771,oregon,6912.03963,college,male,0,96,0.0,personal auto,460.8,four-door car,agent,no
5772,california,5181.620895,master,female,97131,64,0.0,corporate auto,307.2,four-door car,agent,yes
5773,california,7486.171898,high school or below,female,38725,64,0.0,corporate auto,307.2,two-door car,agent,no
5774,california,8084.325058,bachelor,male,20169,112,1.0,personal auto,537.6,suv,web,no
5775,california,20604.01627,high school or below,male,0,72,1.0,special auto,723.010515,two-door car,branch,no
5776,,2981.875575,college,male,0,83,0.0,personal auto,582.679087,two-door car,web,
5777,california,51016.06704,master,female,25167,140,0.0,personal auto,422.494292,suv,agent,no
5778,washington,2549.786069,bachelor,male,72217,64,0.0,personal auto,91.146661,four-door car,branch,no
5779,nevada,8556.418397,college,male,0,124,3.0,personal auto,595.2,suv,branch,no
5780,california,7482.851041,bachelor,female,0,101,0.0,corporate auto,978.257137,suv,agent,no
5781,nevada,3099.538005,bachelor,male,0,102,5.0,corporate auto,862.762957,suv,call center,no
5782,arizona,14666.23121,bachelor,male,0,61,0.0,corporate auto,439.2,four-door car,branch,no
5783,california,3549.747466,bachelor,male,0,100,1.0,personal auto,480.0,suv,agent,no
5784,arizona,6874.326693,college,male,22093,87,,corporate auto,616.749885,two-door car,branch,no
5785,washington,5500.01251,high school or below,female,86073,136,0.0,corporate auto,333.5671,sports car,agent,no
5786,washington,5246.057249,college,male,70301,67,0.0,personal auto,328.942798,four-door car,agent,no
5787,arizona,4686.469674,college,male,58089,118,0.0,personal auto,566.4,suv,agent,yes
5788,california,5534.569714,bachelor,male,16101,74,0.0,personal auto,437.608909,four-door car,call center,no
5789,california,4654.582368,master,female,81883,114,0.0,personal auto,376.002146,four-door car,branch,no
5790,arizona,18892.19767,bachelor,female,0,92,1.0,personal auto,441.6,two-door car,call center,no
5791,,6758.807188,high school or below,male,0,191,0.0,personal auto,2042.569089,luxury car,web,
5792,california,3853.473448,college,female,0,110,0.0,personal auto,792.0,suv,agent,no
5793,oregon,16159.54237,college,male,29593,137,0.0,personal auto,657.6,sports car,call center,no
5795,oregon,2595.747991,bachelor,female,47234,65,0.0,personal auto,15.631363,four-door car,agent,no
5796,oregon,11463.99097,doctor,female,45354,285,0.0,personal auto,540.141566,luxury suv,agent,no
5797,california,6765.800532,college,male,59034,85,0.0,personal auto,378.75258,four-door car,agent,no
5798,arizona,4792.810444,high school or below,female,24395,62,0.0,personal auto,357.109603,two-door car,branch,no
5799,arizona,7282.967586,high school or below,male,40858,184,0.0,personal auto,883.2,luxury suv,agent,no
5800,california,4111.197013,college,female,32210,103,0.0,corporate auto,494.4,suv,call center,no
5801,nevada,2744.73543,doctor,female,35159,68,0.0,personal auto,150.501033,two-door car,agent,no
5802,arizona,3920.511337,high school or below,female,0,108,1.0,personal auto,525.392239,two-door car,branch,no
5803,,10391.78109,bachelor,male,81439,90,1.0,personal auto,108.118855,two-door car,call center,
5804,,5332.462694,doctor,female,68931,66,0.0,special auto,309.577946,four-door car,branch,
5805,oregon,5121.838914,college,female,57161,127,0.0,personal auto,609.6,sports car,agent,no
5806,nevada,7610.840476,college,female,98701,94,0.0,personal auto,79.615631,four-door car,branch,no
5807,oregon,16794.31422,high school or below,female,38399,106,,personal auto,368.890904,suv,web,no
5808,washington,5107.624201,college,male,0,77,0.0,personal auto,554.4,four-door car,branch,no
5809,oregon,5810.630529,high school or below,female,24860,73,0.0,personal auto,350.4,,web,no
5810,oregon,21941.85759,bachelor,female,26378,70,,personal auto,147.795699,four-door car,branch,no
5811,california,3622.872124,college,male,0,108,0.0,corporate auto,1254.177129,suv,branch,no
5813,oregon,2530.705137,bachelor,female,89451,63,0.0,personal auto,61.769564,four-door car,web,yes
5814,oregon,4812.525221,college,male,16531,63,0.0,corporate auto,102.879769,four-door car,web,no
5815,california,16953.08411,bachelor,female,76797,71,0.0,personal auto,234.771653,four-door car,call center,no
5816,oregon,9034.305834,bachelor,female,18846,115,0.0,personal auto,552.0,suv,agent,no
5817,arizona,4022.963529,high school or below,male,0,117,0.0,personal auto,975.107098,suv,agent,no
5818,oregon,5214.342348,doctor,male,69991,65,0.0,personal auto,4.619402,four-door car,call center,no
5819,oregon,4099.659085,high school or below,female,18606,110,1.0,personal auto,568.844905,suv,agent,no
5820,california,5052.381573,bachelor,male,34645,69,3.0,special auto,220.446667,two-door car,agent,no
5821,oregon,5864.381825,high school or below,female,72032,72,0.0,personal auto,438.149129,four-door car,web,no
5822,washington,23055.57229,high school or below,male,41727,117,1.0,personal auto,82.25632,four-door car,agent,no
5823,california,4384.348683,high school or below,female,32272,110,0.0,corporate auto,6.342791,suv,branch,no
5824,california,3499.988408,high school or below,male,16711,91,1.0,personal auto,580.622219,four-door car,call center,no
5825,arizona,18898.32653,college,male,0,132,0.0,personal auto,1405.292809,suv,agent,no
5826,washington,6832.111972,bachelor,female,0,93,1.0,personal auto,446.4,four-door car,agent,no
5828,oregon,16344.60809,college,female,57029,68,0.0,corporate auto,135.788525,two-door car,call center,no
5829,oregon,13727.79972,college,male,0,126,0.0,personal auto,604.8,suv,agent,yes
5830,california,13024.13012,master,male,0,125,0.0,personal auto,900.0,suv,agent,yes
5831,washington,13596.19972,high school or below,male,20128,70,2.0,personal auto,336.0,four-door car,branch,no
5832,california,8935.03414,master,male,39910,112,0.0,personal auto,561.499579,suv,call center,no
5833,arizona,5261.101863,master,male,43318,66,0.0,personal auto,48.936563,four-door car,branch,no
5834,oregon,9416.908485,doctor,female,70602,116,0.0,personal auto,481.339891,suv,call center,no
5835,california,5328.835851,college,female,81064,70,4.0,personal auto,42.238585,two-door car,agent,no
5836,arizona,7405.265785,bachelor,male,58779,64,1.0,personal auto,307.2,four-door car,branch,no
5837,arizona,6289.946999,bachelor,female,24477,79,0.0,personal auto,379.2,four-door car,call center,no
5838,california,5048.512037,bachelor,female,0,142,0.0,corporate auto,880.435943,suv,agent,no
5839,california,13745.04802,college,male,40810,114,0.0,personal auto,780.378964,suv,branch,no
5840,california,3837.615029,bachelor,female,0,106,0.0,personal auto,117.229971,suv,agent,no
5841,arizona,5678.050167,bachelor,female,0,76,,personal auto,364.8,four-door car,agent,yes
5842,california,5306.162741,college,male,42871,67,0.0,corporate auto,321.6,four-door car,web,no
5844,arizona,15638.57599,college,male,49214,102,3.0,corporate auto,371.322406,four-door car,agent,no
5845,california,4568.819387,college,male,0,70,1.0,personal auto,524.836298,two-door car,branch,no
5846,oregon,3803.921781,bachelor,female,20325,100,0.0,personal auto,668.29397,sports car,branch,no
5847,oregon,3517.385764,college,male,51814,92,0.0,personal auto,56.300724,four-door car,agent,no
5848,oregon,2442.200921,high school or below,female,75449,61,0.0,corporate auto,130.775164,two-door car,agent,no
5849,arizona,6832.36853,high school or below,male,66627,85,0.0,personal auto,733.21126,four-door car,branch,no
5851,washington,5550.149947,master,male,62219,69,0.0,personal auto,243.238784,two-door car,branch,no
5852,oregon,5225.03143,college,male,57733,66,0.0,personal auto,393.528054,two-door car,call center,no
5853,arizona,10388.55323,bachelor,female,61222,89,0.0,special auto,392.604371,four-door car,branch,no
5854,oregon,3500.855508,high school or below,female,0,93,0.0,personal auto,446.4,two-door car,branch,no
5855,nevada,22041.85643,doctor,male,0,65,0.0,personal auto,312.0,four-door car,agent,no
5856,oregon,6051.637445,high school or below,male,0,88,0.0,personal auto,633.6,two-door car,agent,no
5857,california,2130.35457,college,male,0,62,0.0,corporate auto,446.4,,branch,no
5858,nevada,8417.159538,bachelor,male,20215,112,0.0,personal auto,537.6,four-door car,call center,no
5859,arizona,8319.5292,high school or below,male,61367,70,0.0,personal auto,498.533231,two-door car,branch,no
5860,arizona,2869.743883,bachelor,male,21234,73,0.0,personal auto,378.333708,four-door car,agent,no
5861,california,4392.982538,bachelor,male,33640,113,0.0,corporate auto,542.4,suv,agent,no
5862,,2423.755534,high school or below,female,22319,63,1.0,personal auto,302.4,two-door car,agent,
5864,california,2919.710443,master,female,41456,73,0.0,personal auto,257.380112,four-door car,branch,no
5865,nevada,3933.813993,high school or below,male,25927,103,0.0,personal auto,674.973614,suv,web,yes
5866,oregon,5880.256499,high school or below,female,0,82,0.0,personal auto,590.4,four-door car,branch,no
5867,arizona,7912.132168,bachelor,male,0,114,0.0,personal auto,820.8,two-door car,branch,no
5868,california,2684.581561,high school or below,male,98121,67,0.0,personal auto,383.655742,two-door car,web,no
5869,oregon,6811.576281,master,female,0,63,1.0,personal auto,302.4,four-door car,branch,no
5871,,3819.619502,high school or below,male,0,111,0.0,personal auto,799.2,two-door car,branch,
5872,nevada,4863.544585,bachelor,male,0,137,0.0,personal auto,657.6,suv,branch,no
5873,arizona,2744.172816,doctor,male,16686,71,0.0,personal auto,125.510669,four-door car,agent,no
5874,oregon,9378.900706,bachelor,male,51425,119,0.0,personal auto,560.154132,four-door car,agent,no
5875,arizona,10614.64457,college,male,16040,96,0.0,personal auto,611.476898,two-door car,branch,no
5876,oregon,22806.46912,master,female,10337,67,0.0,personal auto,321.6,four-door car,branch,no
5877,washington,5719.785738,master,male,54585,71,1.0,personal auto,340.8,,call center,no
5878,oregon,4064.670639,master,female,26161,109,0.0,personal auto,594.444586,,branch,no
5879,oregon,9587.586583,bachelor,male,84539,119,,personal auto,65.428481,four-door car,call center,no
5880,california,8053.268897,college,male,17301,105,0.0,personal auto,638.543326,four-door car,call center,no
5881,california,5012.184756,college,male,20976,129,1.0,personal auto,735.683769,sports car,agent,no
5882,oregon,8906.991433,college,male,58718,226,0.0,personal auto,1084.8,luxury car,agent,no
5883,california,2423.755534,high school or below,female,22319,63,1.0,personal auto,302.4,two-door car,agent,no
5884,oregon,8804.584902,bachelor,male,38638,74,0.0,personal auto,355.2,four-door car,agent,no
5885,washington,2434.849287,college,female,0,66,0.0,personal auto,167.073308,four-door car,agent,no
5886,,7651.099258,bachelor,female,53330,65,0.0,personal auto,224.093027,four-door car,agent,
5887,oregon,5278.183759,college,male,73742,68,0.0,personal auto,27.210992,two-door car,branch,no
5888,oregon,8501.652884,high school or below,male,0,136,3.0,personal auto,979.2,sports car,web,no
5889,,10208.92761,college,female,35482,129,0.0,personal auto,619.2,suv,branch,
5890,arizona,4882.073243,high school or below,male,0,66,0.0,personal auto,475.2,four-door car,call center,no
5891,california,8078.53085,bachelor,female,0,114,1.0,personal auto,547.2,four-door car,branch,no
5892,oregon,10388.986,college,female,33432,90,0.0,corporate auto,161.423101,two-door car,agent,no
5893,,7098.91414,bachelor,male,0,70,0.0,personal auto,349.783046,two-door car,agent,
5894,california,2619.172388,bachelor,male,15587,71,0.0,special auto,136.033828,two-door car,agent,no
5895,arizona,8834.322784,bachelor,female,34133,111,0.0,personal auto,226.9684,suv,call center,no
5896,washington,11009.13049,bachelor,female,51643,283,0.0,personal auto,1358.4,luxury car,agent,yes
5897,oregon,7158.530736,college,male,36463,92,0.0,personal auto,441.6,four-door car,agent,no
5898,,4915.39018,bachelor,male,0,70,0.0,personal auto,504.0,four-door car,branch,
5899,washington,3690.698916,bachelor,female,59016,92,0.0,corporate auto,441.6,,web,no
5900,oregon,2471.077732,high school or below,female,53074,61,0.0,personal auto,268.773368,two-door car,agent,no
5901,arizona,2507.884662,doctor,male,97673,63,0.0,personal auto,178.762806,four-door car,agent,no
5902,nevada,7025.04419,high school or below,male,24726,92,1.0,personal auto,150.693773,four-door car,call center,no
5903,california,6062.441614,high school or below,male,0,84,0.0,personal auto,604.8,four-door car,web,no
5904,oregon,6560.815344,high school or below,female,0,93,0.0,personal auto,41.617367,four-door car,branch,no
5905,california,2822.731903,college,female,0,77,0.0,personal auto,138.947984,,web,no
5906,nevada,36946.06393,college,female,75425,116,1.0,personal auto,663.643801,sports car,call center,no
5907,california,40688.53442,high school or below,female,37455,114,0.0,personal auto,547.2,suv,call center,no
5908,washington,2896.918767,college,female,33746,74,1.0,personal auto,355.2,two-door car,agent,no
5909,arizona,5304.541694,bachelor,male,0,74,0.0,personal auto,532.8,four-door car,branch,no
5910,arizona,2867.211836,college,female,91810,71,0.0,corporate auto,165.520952,four-door car,web,no
5911,oregon,2580.849899,college,male,46900,66,0.0,corporate auto,316.8,four-door car,web,yes
5912,california,3979.718986,bachelor,female,96413,99,0.0,personal auto,560.045764,four-door car,web,no
5913,oregon,4623.536706,high school or below,male,0,133,0.0,personal auto,957.6,suv,web,no
5914,california,2242.226055,bachelor,female,0,67,3.0,personal auto,618.355883,four-door car,agent,no
5915,oregon,42389.00791,college,male,82554,132,0.0,personal auto,154.749492,sports car,branch,no
5916,california,5692.684466,college,female,86073,70,0.0,personal auto,291.587866,two-door car,branch,no
5917,california,5528.212807,bachelor,male,36088,72,0.0,personal auto,345.6,four-door car,agent,yes
5918,california,8146.271602,college,female,92777,68,2.0,personal auto,158.041549,two-door car,web,no
5919,california,6785.536334,bachelor,female,0,197,0.0,corporate auto,1439.676002,sports car,agent,no
5920,nevada,7055.962564,bachelor,male,0,108,1.0,special auto,777.6,two-door car,branch,no
5921,washington,15374.18296,bachelor,female,42570,128,0.0,personal auto,587.409205,suv,agent,no
5922,oregon,6121.107929,college,female,26787,77,0.0,personal auto,369.6,four-door car,branch,no
5923,california,8278.716567,high school or below,male,16924,226,0.0,personal auto,1084.8,luxury suv,branch,no
5924,oregon,22563.61838,high school or below,male,23046,65,3.0,personal auto,1.687291,two-door car,branch,no
5925,california,3109.007806,high school or below,male,77485,77,0.0,corporate auto,355.909266,four-door car,branch,no
5926,nevada,2805.286098,college,male,50180,77,3.0,personal auto,360.499075,four-door car,web,no
5927,arizona,2433.214447,bachelor,female,23737,62,1.0,personal auto,437.934279,four-door car,agent,no
5928,,3969.433177,college,female,49544,101,0.0,personal auto,0.769185,suv,agent,
5929,oregon,4882.289803,high school or below,female,19715,66,4.0,personal auto,475.2,four-door car,web,no
5930,,8503.942634,high school or below,female,87771,74,4.0,personal auto,355.2,four-door car,branch,
5932,california,2685.177658,college,female,20608,73,0.0,personal auto,350.4,four-door car,branch,no
5933,washington,8641.530036,bachelor,male,78904,109,0.0,personal auto,250.001424,suv,branch,no
5934,,9460.17545,high school or below,female,0,133,0.0,personal auto,1443.455106,suv,call center,
5935,oregon,4863.266809,bachelor,male,0,70,,corporate auto,646.785442,four-door car,agent,no
5936,oregon,10925.82157,high school or below,female,98542,90,0.0,personal auto,432.0,two-door car,agent,no
5937,arizona,9853.773193,bachelor,male,44006,130,0.0,personal auto,494.664784,sports car,branch,no
5938,nevada,5597.12496,high school or below,female,37995,139,0.0,personal auto,667.2,suv,branch,yes
5939,oregon,3102.998522,doctor,male,31841,78,,personal auto,126.857228,four-door car,agent,no
5940,california,2713.560376,college,female,0,74,0.0,personal auto,299.635989,,call center,no
5941,california,2290.681171,bachelor,female,0,64,0.0,personal auto,482.778155,four-door car,branch,no
5942,,7582.113842,college,male,64801,64,0.0,corporate auto,268.471802,four-door car,web,
5943,nevada,8317.302513,college,female,64367,104,0.0,personal auto,96.431061,suv,call center,no
5944,,8586.528213,bachelor,female,0,83,,personal auto,483.577807,four-door car,agent,
5945,california,9486.037005,high school or below,male,25322,126,0.0,corporate auto,886.033554,sports car,call center,no
5946,nevada,3589.372361,college,female,30944,92,0.0,personal auto,348.216284,,web,no
5947,washington,2393.915369,college,male,0,70,0.0,personal auto,425.266308,four-door car,branch,yes
5948,nevada,8653.302322,college,female,20588,113,0.0,personal auto,586.390393,suv,branch,no
5949,california,5389.499465,college,male,66429,136,0.0,personal auto,57.712985,sports car,agent,yes
5950,oregon,3265.156348,bachelor,female,25820,82,0.0,corporate auto,393.6,four-door car,agent,yes
5951,oregon,5947.215835,college,female,67760,74,0.0,special auto,465.278453,four-door car,branch,no
5952,california,13752.46705,high school or below,male,0,131,1.0,personal auto,628.8,sports car,agent,no
5953,oregon,9766.217126,bachelor,male,75651,81,0.0,personal auto,375.11129,four-door car,agent,no
5954,california,21920.81339,high school or below,male,60180,183,0.0,corporate auto,988.533256,luxury car,branch,no
5955,washington,4992.920887,college,male,24368,68,1.0,personal auto,326.4,four-door car,agent,no
5956,california,2499.411829,high school or below,female,0,72,0.0,corporate auto,345.6,two-door car,branch,no
5957,arizona,4194.659772,doctor,female,25581,105,0.0,personal auto,429.695284,suv,branch,no
5958,california,17006.00256,bachelor,female,58620,71,0.0,corporate auto,340.8,four-door car,call center,no
5959,arizona,7553.936525,doctor,male,38008,68,4.0,personal auto,321.789644,four-door car,agent,no
5960,arizona,4670.058282,bachelor,female,69921,118,2.0,personal auto,373.227044,two-door car,agent,no
5961,oregon,24967.75842,high school or below,male,66825,69,0.0,personal auto,70.031111,four-door car,agent,no
5962,oregon,6974.922464,high school or below,male,26514,91,,personal auto,655.2,four-door car,agent,no
5964,california,12255.12414,bachelor,male,0,177,0.0,personal auto,1274.4,suv,branch,no
5965,oregon,5714.246379,high school or below,male,0,79,0.0,personal auto,50.447629,two-door car,agent,no
5966,oregon,4760.941906,bachelor,female,0,68,0.0,corporate auto,489.6,four-door car,web,no
5967,arizona,3677.784051,high school or below,male,32314,92,,personal auto,662.4,four-door car,agent,no
5968,nevada,7955.774758,high school or below,male,0,74,0.0,personal auto,355.2,four-door car,web,no
5969,oregon,9501.005425,college,female,46855,119,0.0,personal auto,472.391125,suv,branch,no
5970,oregon,7247.736708,college,male,23541,62,,personal auto,98.923871,two-door car,agent,no
5971,california,4528.50489,high school or below,male,70340,113,0.0,special auto,542.4,four-door car,agent,no
5972,california,4762.823136,bachelor,male,0,65,0.0,personal auto,366.212945,four-door car,call center,no
5973,,6503.397049,high school or below,female,22081,84,0.0,personal auto,451.670309,two-door car,agent,
5974,nevada,9028.821403,high school or below,male,65974,113,0.0,personal auto,235.220971,sports car,agent,no
5975,nevada,20940.30306,high school or below,female,0,67,0.0,personal auto,482.4,four-door car,agent,no
5976,arizona,23536.74767,bachelor,female,33747,199,0.0,corporate auto,832.701335,luxury car,branch,no
5978,arizona,14455.86021,college,female,0,78,0.0,special auto,561.6,four-door car,call center,no
5979,nevada,4162.179638,high school or below,male,0,67,3.0,personal auto,321.6,four-door car,branch,no
5980,,3309.248219,college,male,85632,82,,personal auto,7.2574,two-door car,call center,
5981,washington,3478.887023,college,male,29938,90,0.0,corporate auto,562.426585,four-door car,branch,no
5982,oregon,12786.66898,college,female,0,180,0.0,special auto,1296.0,luxury suv,agent,no
5983,arizona,7609.089616,bachelor,male,16233,197,0.0,personal auto,1418.4,luxury car,web,no
5984,oregon,25082.1789,high school or below,female,0,100,0.0,personal auto,1000.850446,suv,branch,no
5985,arizona,7948.567913,college,female,63892,66,0.0,personal auto,90.712257,four-door car,agent,no
5986,washington,8459.053233,college,female,92717,70,0.0,personal auto,224.27582,two-door car,call center,no
5987,oregon,13736.1325,master,female,16181,181,0.0,personal auto,1261.319869,suv,web,yes
5988,california,7423.929008,college,female,0,107,0.0,personal auto,513.6,suv,branch,no
5989,oregon,4644.700497,bachelor,male,0,64,,corporate auto,307.2,four-door car,branch,no
5990,nevada,2372.155492,high school or below,female,19030,62,0.0,corporate auto,355.820799,two-door car,branch,no
5991,oregon,4887.794108,bachelor,male,70742,124,1.0,personal auto,211.68058,suv,agent,no
5992,oregon,18196.63824,bachelor,male,57177,92,0.0,personal auto,441.6,four-door car,branch,no
5993,nevada,52811.49112,bachelor,male,0,182,0.0,corporate auto,873.6,luxury car,agent,no
5994,california,2675.029491,master,female,55479,68,1.0,personal auto,117.964245,four-door car,branch,no
5995,washington,2322.572562,high school or below,male,0,63,0.0,corporate auto,453.6,four-door car,agent,no
5996,,12731.95161,doctor,male,40870,105,0.0,corporate auto,504.0,suv,agent,
5997,nevada,4515.445404,bachelor,female,21500,115,0.0,corporate auto,39.292196,four-door car,agent,no
5998,california,3588.926491,college,male,0,106,0.0,personal auto,763.2,suv,agent,no
5999,oregon,30286.68586,high school or below,female,27587,103,1.0,corporate auto,241.141192,,call center,no
6000,,13736.1325,master,female,16181,181,0.0,personal auto,1261.319869,suv,web,
6001,arizona,4876.469668,high school or below,female,0,66,0.0,corporate auto,316.8,two-door car,branch,no
6002,california,10536.07798,high school or below,male,92983,87,1.0,corporate auto,153.205591,four-door car,agent,no
6003,oregon,9816.528302,college,male,37256,62,0.0,personal auto,128.969729,four-door car,branch,yes
6004,washington,4112.625047,high school or below,male,0,71,3.0,personal auto,569.761582,,agent,no
6005,nevada,4110.620178,high school or below,male,31842,108,0.0,special auto,406.348084,suv,agent,no
6006,california,6532.010543,college,male,24919,84,1.0,personal auto,420.420755,four-door car,call center,no
6007,arizona,7431.664369,bachelor,female,27688,92,0.0,personal auto,572.352362,four-door car,agent,no
6008,oregon,4912.025292,bachelor,female,0,66,0.0,personal auto,668.158687,four-door car,branch,no
6009,california,11885.96797,high school or below,male,0,105,,personal auto,756.0,suv,agent,no
6010,,6782.556454,high school or below,male,26116,85,0.0,personal auto,612.0,four-door car,agent,
6011,oregon,5980.846151,college,female,22946,76,0.0,personal auto,377.350433,four-door car,agent,no
6012,oregon,9045.111945,master,female,52572,113,0.0,personal auto,441.623031,four-door car,agent,no
6013,california,4867.378203,doctor,female,20123,63,0.0,personal auto,302.4,four-door car,call center,no
6014,california,9470.063102,college,female,46530,80,1.0,corporate auto,118.556928,four-door car,agent,no
6016,oregon,2623.31543,bachelor,female,80210,65,0.0,corporate auto,20.543176,four-door car,agent,no
6017,washington,15950.01951,college,female,0,87,1.0,personal auto,46.041452,two-door car,web,no
6018,oregon,2927.516316,college,female,20852,73,0.0,personal auto,383.789732,,branch,no
6019,california,7320.98824,college,male,99722,61,0.0,personal auto,292.8,four-door car,call center,no
6020,oregon,2953.617963,doctor,female,76474,74,2.0,personal auto,355.2,four-door car,web,no
6021,oregon,2935.838245,college,female,0,82,0.0,personal auto,590.4,four-door car,web,no
6022,washington,8257.666512,bachelor,female,23815,73,0.0,personal auto,424.330166,four-door car,call center,yes
6023,nevada,13770.97618,high school or below,female,59207,116,0.0,personal auto,556.8,four-door car,agent,yes
6024,oregon,14246.14841,high school or below,male,0,207,0.0,personal auto,1490.4,luxury car,agent,no
6025,arizona,5678.050167,bachelor,female,0,76,0.0,personal auto,364.8,four-door car,agent,yes
6026,california,19231.77266,master,female,99772,158,0.0,corporate auto,51.902587,suv,branch,no
6027,arizona,7296.493236,college,female,0,67,0.0,personal auto,321.6,two-door car,web,no
6028,california,39365.29616,master,female,99875,108,0.0,personal auto,114.972914,suv,call center,no
6029,oregon,13352.56134,college,female,0,119,,personal auto,729.595208,four-door car,agent,no
6030,california,6847.588918,bachelor,male,0,191,0.0,personal auto,1317.008182,luxury suv,web,no
6031,arizona,4834.397455,bachelor,male,11698,65,0.0,personal auto,468.0,four-door car,branch,no
6032,california,10288.92495,bachelor,female,96337,127,0.0,personal auto,609.6,suv,branch,no
6033,arizona,2444.621056,high school or below,male,0,66,0.0,corporate auto,316.8,four-door car,branch,no
6034,california,2469.088506,bachelor,male,0,71,0.0,corporate auto,484.87847,four-door car,branch,no
6035,california,4167.419574,bachelor,female,56901,104,0.0,personal auto,499.2,suv,agent,no
6036,california,2514.282096,high school or below,male,24744,65,0.0,personal auto,312.0,four-door car,call center,no
6037,california,5029.671927,college,female,62271,63,0.0,personal auto,25.478179,four-door car,agent,no
6038,washington,6933.335325,bachelor,female,0,70,1.0,personal auto,504.0,four-door car,agent,no
6039,california,5908.7518,high school or below,female,71401,73,0.0,personal auto,287.332253,four-door car,agent,no
6040,arizona,9988.787618,master,female,33157,124,0.0,personal auto,286.003968,suv,agent,no
6041,oregon,10171.47779,master,male,74243,84,0.0,corporate auto,71.311211,four-door car,call center,no
6042,oregon,8679.838135,bachelor,female,52717,109,0.0,corporate auto,60.151529,,agent,no
6043,,4132.58858,college,female,0,63,1.0,personal auto,453.6,four-door car,agent,
6044,nevada,2568.843396,bachelor,female,11167,73,3.0,personal auto,350.4,two-door car,branch,no
6045,washington,8693.995589,bachelor,male,48893,110,0.0,personal auto,787.88953,suv,branch,no
6047,nevada,29091.23936,bachelor,female,34226,244,0.0,personal auto,494.395024,luxury suv,agent,no
6048,california,5574.618901,college,male,20075,71,0.0,personal auto,371.679189,four-door car,agent,no
6049,nevada,16224.54182,high school or below,female,32184,136,1.0,personal auto,266.146673,suv,branch,no
6050,arizona,3885.456401,college,male,0,105,0.0,personal auto,504.0,four-door car,branch,yes
6051,california,16464.36587,bachelor,female,27760,104,0.0,personal auto,302.764283,suv,web,no
6052,oregon,7329.889139,college,male,0,108,0.0,personal auto,518.4,sports car,branch,no
6053,oregon,10272.6082,college,male,60145,132,0.0,personal auto,580.473259,suv,web,no
6054,washington,7556.24034,high school or below,male,35257,98,1.0,corporate auto,470.4,four-door car,web,no
6055,oregon,2491.317024,doctor,male,36631,62,0.0,corporate auto,67.530904,four-door car,agent,yes
6056,arizona,7974.390276,high school or below,female,0,109,0.0,personal auto,523.2,suv,web,no
6057,arizona,13270.9446,college,male,28727,113,,corporate auto,350.877502,suv,branch,no
6058,nevada,4573.998134,high school or below,female,0,127,0.0,special auto,914.4,sports car,agent,no
6059,arizona,2872.669164,bachelor,female,79681,73,1.0,personal auto,9.160139,four-door car,agent,no
6060,oregon,6071.907243,high school or below,female,12201,84,0.0,corporate auto,604.8,four-door car,branch,no
6061,arizona,6334.466403,bachelor,male,0,63,0.0,personal auto,302.4,four-door car,branch,no
6062,oregon,12550.88198,bachelor,female,22234,160,0.0,personal auto,768.0,suv,agent,no
6063,california,9707.647552,college,male,30430,86,0.0,special auto,425.662574,four-door car,web,no
6064,california,16504.96173,high school or below,male,42148,104,0.0,personal auto,366.978793,suv,branch,no
6065,california,5644.474853,bachelor,male,33137,74,0.0,personal auto,472.500375,two-door car,web,no
6066,washington,17966.28765,high school or below,female,0,70,0.0,personal auto,504.0,four-door car,agent,no
6067,arizona,7019.177186,college,male,26806,63,0.0,personal auto,302.4,four-door car,agent,yes
6069,arizona,15797.98978,master,male,35754,199,0.0,personal auto,612.973779,luxury car,agent,no
6070,nevada,9816.528302,college,male,37256,62,,personal auto,128.969729,,branch,yes
6071,california,5871.175279,bachelor,male,33967,76,0.0,personal auto,364.8,,agent,no
6072,oregon,14050.17358,master,male,0,73,1.0,corporate auto,350.4,four-door car,branch,no
6073,nevada,3387.77901,bachelor,male,23156,88,2.0,special auto,422.4,four-door car,agent,no
6074,california,3732.305945,high school or below,female,75774,92,1.0,corporate auto,441.6,four-door car,web,no
6075,california,5229.741907,bachelor,male,77357,67,0.0,personal auto,29.884537,four-door car,web,no
6076,arizona,4861.369008,high school or below,male,36305,61,0.0,personal auto,292.8,four-door car,branch,no
6077,california,3890.964154,bachelor,male,43578,98,0.0,personal auto,105.662175,two-door car,agent,no
6078,california,5204.64616,bachelor,female,29406,68,,personal auto,326.4,four-door car,agent,no
6079,california,2616.613903,college,male,72302,66,0.0,personal auto,316.8,two-door car,agent,yes
6080,nevada,29297.33082,high school or below,female,0,115,0.0,personal auto,1251.042795,suv,agent,no
6081,washington,9388.162927,high school or below,female,75264,78,0.0,personal auto,343.340301,four-door car,web,no
6082,arizona,6382.583452,high school or below,male,0,87,0.0,personal auto,417.6,four-door car,web,no
6083,oregon,4436.806209,bachelor,female,77609,111,0.0,corporate auto,62.935952,sports car,branch,no
6084,oregon,5934.741492,bachelor,female,87747,147,1.0,personal auto,46.492039,suv,agent,no
6085,oregon,7796.000083,high school or below,male,32169,199,0.0,personal auto,785.82348,luxury suv,call center,no
6086,arizona,8375.353929,master,female,17780,109,0.0,personal auto,132.588288,suv,branch,no
6087,california,20216.30883,high school or below,male,0,183,0.0,personal auto,878.4,luxury suv,agent,no
6088,nevada,17349.03226,bachelor,female,0,92,0.0,personal auto,441.6,four-door car,call center,no
